"","V1","V2","V3","V4","V5"
"foliarP","2.28 ± 0.07 B","2.31 ± 0.07 B","2.33 ± 0.07 AB","2.29 ± 0.07 B","2.43 ± 0.07 A"
"foliarB","1.94 ± 0.12 NA","1.94 ± 0.12 NA","1.79 ± 0.12 NA","1.78 ± 0.12 NA","1.89 ± 0.12 NA"
"foliarCu","2.74 ± 0.36 NA","2.62 ± 0.36 NA","2.85 ± 0.36 NA","2.58 ± 0.36 NA","2.96 ± 0.36 NA"
"foliarZn","2.12 ± 0.12 B","2.24 ± 0.13 AB","2.29 ± 0.13 AB","2.31 ± 0.13 A","2.4 ± 0.13 A"
