"","V1","V2","V3","V4","V5"
"agb","0","1.37 ± 0.4 A","0.83 ± 0.31 B","1.71 ± 0.45 A","1.34 ± 0.4 A"
"weeds","0.66 ± 0.06 C","0.33 ± 0.06 A","0.46 ± 0.06 B","0.37 ± 0.06 AB","0.28 ± 0.06 A"
"inputC","0.13 ± 0.06 C","0.61 ± 0.13 A","0.42 ± 0.11 B","0.72 ± 0.14 A","0.58 ± 0.12 AB"
"inputN","5.6 ± 2.04 C","21.84 ± 4.02 B","25.51 ± 4.35 AB","31.6 ± 4.84 A","33.42 ± 4.97 A"
"inputCN","0.02 ± 0 B","0.03 ± 0 C","0.02 ± 0 A","0.02 ± 0 B","0.02 ± 0 A"
"Yield","1.05 ± 0.06 AB","0.98 ± 0.06 C","1.06 ± 0.06 A","1.01 ± 0.06 BC","1.06 ± 0.06 AB"
