"","V1","V2","V3","V4"
"NAG","23.76 ± 2.41 A","20.54 ± 2.08 B","21.84 ± 2.22 AB","22.87 ± 2.32 AB"
"WEC","68.83 ± 3.66 A","64.48 ± 3.66 AB","67.37 ± 3.66 AB","63.43 ± 3.66 B"
"WEN","9.69 ± 1.25 AB","11.24 ± 1.43 A","10.1 ± 1.3 AB","9.01 ± 1.17 B"
"WAS","57.97 ± 6.12 B","64.24 ± 6.44 AB","61.64 ± 6.31 AB","66.21 ± 6.54 A"
