"","V1","V2","V3","V4","V5"
"orgC_1","9.84 ± 0.4 ABC","9.98 ± 0.4 ABC","10.1 ± 0.4 ABC","9.95 ± 0.4 ABC","10.31 ± 0.4 ABC"
"orgC_2","8.6 ± 0.4 C","9.59 ± 0.4 ABC","9.42 ± 0.4 ABC","10.16 ± 0.4 AB","9.88 ± 0.4 AB"
"orgC_3","9.56 ± 0.4 BC","9.57 ± 0.4 BC","10.02 ± 0.4 ABC","10.76 ± 0.4 A","10.32 ± 0.4 AB"
"orgC_4","9.75 ± 0.4 ABC","9.39 ± 0.4 ABC","9.25 ± 0.4 ABC","9.73 ± 0.4 ABC","9.96 ± 0.4 ABC"
"totN_1","1.06 ± 0.04 A","1.05 ± 0.04 A","1.12 ± 0.04 A","1.04 ± 0.04 A","1.09 ± 0.04 A"
"totN_2","0.93 ± 0.04 B","1.01 ± 0.04 AB","1.01 ± 0.04 AB","1.06 ± 0.04 A","1.05 ± 0.04 A"
"totN_3","1.01 ± 0.04 B","1.02 ± 0.04 B","1.07 ± 0.04 AB","1.13 ± 0.04 A","1.12 ± 0.04 A"
"totN_4","1.06 ± 0.04 A","0.99 ± 0.04 A","0.97 ± 0.04 A","1.03 ± 0.04 A","1.04 ± 0.04 A"
