"","V1","V2","V3","V4"
"weeds","0.4 ± 0.06 AB (0.66)","0.47 ± 0.06 B (0)","0.44 ± 0.06 AB (0.31)","0.37 ± 0.06 A (1)"
"inputCN","0.02 ± 0 B (0.01)","0.02 ± 0 B (0)","0.02 ± 0 B (0.04)","0.02 ± 0 A (1)"
"Yield","0.91 ± 0.07 C (0)","1.15 ± 0.07 A (1)","0.95 ± 0.07 BC (0.18)","1.11 ± 0.07 AB (0.84)"
"V4","0.66","1","0.52","2.84"
"NAG","23.76 ± 2.41 A (1)","20.54 ± 2.08 B (0)","21.84 ± 2.22 AB (0.4)","22.87 ± 2.32 AB (0.72)"
"WEC","68.83 ± 3.66 A (1)","64.48 ± 3.66 AB (0.19)","67.37 ± 3.66 AB (0.73)","63.43 ± 3.66 B (0)"
"WEN","9.69 ± 1.25 AB (0.31)","11.24 ± 1.43 A (1)","10.1 ± 1.3 AB (0.49)","9.01 ± 1.17 B (0)"
"WAS","57.97 ± 6.12 B (0)","64.24 ± 6.44 AB (0.76)","61.64 ± 6.31 AB (0.45)","66.21 ± 6.54 A (1)"
"V9","2.31","1.96","2.07","1.72"
"overallsum","2.97","2.96","2.59","4.56"
