"","V1","V2","V3","V4"
"weeds","0.4 ± 0.06 AB","0.47 ± 0.06 B","0.44 ± 0.06 AB","0.37 ± 0.06 A"
"inputCN","0.02 ± 0 B","0.02 ± 0 B","0.02 ± 0 B","0.02 ± 0 A"
"Yield","0.91 ± 0.07 C","1.15 ± 0.07 A","0.95 ± 0.07 BC","1.11 ± 0.07 AB"
