"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"orgC","9.84 ± 0.4 ABC (NA)","9.98 ± 0.4 ABC (NA)","10.1 ± 0.4 ABC (NA)","9.95 ± 0.4 ABC (NA)","10.31 ± 0.4 ABC (NA)","8.6 ± 0.4 C (0)","9.59 ± 0.4 ABC (0.64)","9.42 ± 0.4 ABC (0.52)","10.16 ± 0.4 AB (1)","9.88 ± 0.4 AB (0.82)","9.56 ± 0.4 BC (0)","9.57 ± 0.4 BC (0.01)","10.02 ± 0.4 ABC (0.38)","10.76 ± 0.4 A (1)","10.32 ± 0.4 AB (0.63)","9.75 ± 0.4 ABC (NA)","9.39 ± 0.4 ABC (NA)","9.25 ± 0.4 ABC (NA)","9.73 ± 0.4 ABC (NA)","9.96 ± 0.4 ABC (NA)"
"totN","1.06 ± 0.04 A (NA)","1.05 ± 0.04 A (NA)","1.12 ± 0.04 A (NA)","1.04 ± 0.04 A (NA)","1.09 ± 0.04 A (NA)","0.93 ± 0.04 B (0)","1.01 ± 0.04 AB (0.64)","1.01 ± 0.04 AB (0.63)","1.06 ± 0.04 A (1)","1.05 ± 0.04 A (0.94)","1.01 ± 0.04 B (0)","1.02 ± 0.04 B (0.1)","1.07 ± 0.04 AB (0.48)","1.13 ± 0.04 A (1)","1.12 ± 0.04 A (0.94)","1.06 ± 0.04 A (NA)","0.99 ± 0.04 A (NA)","0.97 ± 0.04 A (NA)","1.03 ± 0.04 A (NA)","1.04 ± 0.04 A (NA)"
"sums","0.00","0.00","0.00","0.00","0.00","0.00","1.28","1.16","2.00","1.76","0.00","0.11","0.86","2.00","1.58","0.00","0.00","0.00","0.00","0.00"
