"","V1","V2","V3","V4","V5"
"inorgN","7.81 ± 1.06 AB","7.05 ± 1.01 C","8.42 ± 1.1 A","7.63 ± 1.05 BC","8.43 ± 1.1 A"
"GMC","0.2 ± 0.01 B","0.2 ± 0.01 A","0.2 ± 0.01 AB","0.2 ± 0.01 AB","0.21 ± 0.01 A"
"BG","56.67 ± 4.75 B","60.24 ± 4.9 AB","62.53 ± 4.99 A","63.38 ± 5.03 A","64.11 ± 5.06 A"
"NAG","19.88 ± 1.99 B","22.03 ± 2.21 AB","22.63 ± 2.27 A","23.88 ± 2.4 A","22.9 ± 2.3 A"
"PHOS","132.98 ± 8.6 NA","136.13 ± 8.6 NA","135.79 ± 8.6 NA","142.3 ± 8.6 NA","141.87 ± 8.6 NA"
"WEC","64 ± 3.54 B","65.2 ± 3.54 B","65.67 ± 3.54 AB","68.4 ± 3.54 A","66.87 ± 3.54 AB"
"orgC","9.44 ± 0.3 C","9.63 ± 0.3 C","9.7 ± 0.3 BC","10.15 ± 0.3 A","10.12 ± 0.3 AB"
"totN","1.01 ± 0.02 C","1.02 ± 0.02 BC","1.04 ± 0.02 ABC","1.07 ± 0.02 AB","1.08 ± 0.02 A"
"POC","2.91 ± 0.45 B","3.22 ± 0.47 AB","3.04 ± 0.46 AB","3.33 ± 0.48 A","3.11 ± 0.46 AB"
"MAOC","5.85 ± 0.36 B","5.94 ± 0.36 B","6.07 ± 0.36 AB","6.25 ± 0.36 AB","6.41 ± 0.36 A"
