"","Cover","Cropping.system","Cover.Cropping.system","R2"
"N","X2=6.627, Df=4, P=0.157","X2=47.758, Df=3, P<0.001","X2=13.034, Df=12, P=0.367","0.54, 0.94"
"P","X2=17.612, Df=4, P=0.001","X2=72.064, Df=3, P<0.001","X2=5.287, Df=12, P=0.948","0.64, 0.92"
"K","X2=0.681, Df=4, P=0.954","X2=49.584, Df=3, P<0.001","X2=0.882, Df=12, P=1","0.24, 0.24"
"Ca","X2=5.19, Df=4, P=0.268","X2=52.57, Df=3, P<0.001","X2=15.321, Df=12, P=0.224","0.53, 0.95"
"Mg","X2=4.831, Df=4, P=0.305","X2=8.695, Df=3, P=0.034","X2=8.876, Df=12, P=0.713","0.2, 0.88"
"S","X2=8.479, Df=4, P=0.076","X2=4.775, Df=3, P=0.189","X2=23.891, Df=12, P=0.021","0.15, 0.72"
"B","X2=10.862, Df=4, P=0.028","X2=12.242, Df=3, P=0.007","X2=8.812, Df=12, P=0.719","0.26, 0.9"
"Fe","X2=4.657, Df=4, P=0.324","X2=34.55, Df=3, P<0.001","X2=23.612, Df=12, P=0.023","0.36, 0.9"
"Mn","X2=3.559, Df=4, P=0.469","X2=17.565, Df=3, P=0.001","X2=24.23, Df=12, P=0.019","0.13, 0.94"
"Cu","X2=9.69, Df=4, P=0.046","X2=5.382, Df=3, P=0.146","X2=9.476, Df=12, P=0.662","0.09, 0.55"
"Zn","X2=17.151, Df=4, P=0.002","X2=10.955, Df=3, P=0.012","X2=12.126, Df=12, P=0.436","0.24, 0.86"
"Yield","X2=26.551, Df=4, P<0.001","X2=20.203, Df=3, P<0.001","X2=14.657, Df=12, P=0.261","0.21, 0.82"
