"","V1"
"X_Mean",119.5
"X_SD",69.714
"Plot_Mean",260.5
"Plot_SD",112.658
"GMC_Mean",0.197
"GMC_SD",0.022
"BD_Mean",1.324
"BD_SD",0.093
"MBC_Mean",209.151
"MBC_SD",125.601
"pH_Mean",6.635
"pH_SD",0.147
"AG_Mean",4.486
"AG_SD",1.876
"BG_Mean",64.904
"BG_SD",20.284
"CB_Mean",25.342
"CB_SD",9.948
"LAP_Mean",52.592
"LAP_SD",64.322
"NAG_Mean",22.95
"NAG_SD",7.687
"PHOS_Mean",142.5
"PHOS_SD",48.086
"XYL_Mean",12.432
"XYL_SD",4.34
"sep_Mean",3.843
"sep_SD",1.558
"asep_Mean",4.814
"asep_SD",1.741
"bac_richness_Mean",1560.812
"bac_richness_SD",647.864
"bac_shannon.div_Mean",6.805
"bac_shannon.div_SD",0.381
"bac_simpson.div_Mean",0.998
"bac_simpson.div_SD",0.001
"bac_invsimpson.div_Mean",550.914
"bac_invsimpson.div_SD",196.671
"bac_evenness_Mean",0.937
"bac_evenness_SD",0.01
"fun_richness_Mean",660.575
"fun_richness_SD",90.419
"fun_shannon.div_Mean",4.774
"fun_shannon.div_SD",0.403
"fun_simpson.div_Mean",0.966
"fun_simpson.div_SD",0.03
"fun_invsimpson.div_Mean",42.927
"fun_invsimpson.div_SD",21.535
"fun_evenness_Mean",0.736
"fun_evenness_SD",0.053
"amf_relabund_Mean",0.024
"amf_relabund_SD",0.012
"amf_richness_Mean",52.525
"amf_richness_SD",17.98
"amf_shannon.div_Mean",3.597
"amf_shannon.div_SD",0.378
"amf_simpson.div_Mean",0.963
"amf_simpson.div_SD",0.017
"amf_invsimpson.div_Mean",30.945
"amf_invsimpson.div_SD",10.193
"amf_evenness_Mean",0.925
"amf_evenness_SD",0.023
"plantpath_relabund_Mean",0.198
"plantpath_relabund_SD",0.07
"plantpath_richness_Mean",67.388
"plantpath_richness_SD",10.672
"plantpath_shannon.div_Mean",2.778
"plantpath_shannon.div_SD",0.314
"plantpath_simpson.div_Mean",0.864
"plantpath_simpson.div_SD",0.063
"plantpath_invsimpson.div_Mean",8.763
"plantpath_invsimpson.div_SD",3.507
"plantpath_evenness_Mean",0.661
"plantpath_evenness_SD",0.068
"soilsap_relabund_Mean",0.165
"soilsap_relabund_SD",0.073
"soilsap_richness_Mean",58.5
"soilsap_richness_SD",9.324
"soilsap_shannon.div_Mean",2.657
"soilsap_shannon.div_SD",0.385
"soilsap_simpson.div_Mean",0.85
"soilsap_simpson.div_SD",0.101
"soilsap_invsimpson.div_Mean",8.067
"soilsap_invsimpson.div_SD",2.759
"soilsap_evenness_Mean",0.656
"soilsap_evenness_SD",0.095
"littersap_relabund_Mean",0.106
"littersap_relabund_SD",0.082
"littersap_richness_Mean",47.95
"littersap_richness_SD",11.109
"littersap_shannon.div_Mean",2.608
"littersap_shannon.div_SD",0.608
"littersap_simpson.div_Mean",0.823
"littersap_simpson.div_SD",0.158
"littersap_invsimpson.div_Mean",9.036
"littersap_invsimpson.div_SD",5.062
"littersap_evenness_Mean",0.679
"littersap_evenness_SD",0.154
"orgC_Mean",9.409
"orgC_SD",1.092
"totN_Mean",0.996
"totN_SD",0.087
"POC_Mean",1.306
"POC_SD",0.724
"MAOC_Mean",NA
"MAOC_SD",NA
"sandC_Mean",NA
"sandC_SD",NA
"POM_Mean",0.66
"POM_SD",0.345
"MAOM_Mean",85.278
"MAOM_SD",5.022
"sandM_Mean",14.863
"sandM_SD",4.047
"POMc_Mean",19.598
"POMc_SD",2.434
"MAOMc_Mean",NA
"MAOMc_SD",NA
"sandc_Mean",NA
"sandc_SD",NA
"poxc_Mean",NA
"poxc_SD",NA
"noN_Mean",4.682
"noN_SD",3.134
"nhN_Mean",2.346
"nhN_SD",0.827
"inorgN_Mean",7.028
"inorgN_SD",3.278
"P_Mean",15.366
"P_SD",5.644
"K_Mean",70.658
"K_SD",9.956
"Ca_Mean",1077.897
"Ca_SD",79.243
"Mg_Mean",50.529
"Mg_SD",7.342
"Mn_Mean",37.403
"Mn_SD",8.469
"Zn_Mean",1.997
"Zn_SD",0.753
"Al_Mean",118.726
"Al_SD",15.374
"B_Mean",0.248
"B_SD",0.021
"Cu_Mean",0.379
"Cu_SD",0.098
"Fe_Mean",12.384
"Fe_SD",1.426
"Na_Mean",5.322
"Na_SD",0.849
"Ni_Mean",0.458
"Ni_SD",0.134
"Si_Mean",32.877
"Si_SD",4.114
"WEC_Mean",37.751
"WEC_SD",17.101
"WEN_Mean",9.136
"WEN_SD",6.166
"WAS_Mean",49.105
"WAS_SD",11.489
"MWD4_Mean",3.592
"MWD4_SD",0.289
"MWD5_Mean",3.681
"MWD5_SD",0.393
"CCpc_Mean",NA
"CCpc_SD",NA
"CCc_Mean",NA
"CCc_SD",NA
"CCn_Mean",NA
"CCn_SD",NA
"CCcn_Mean",NA
"CCcn_SD",NA
"Wc_Mean",NA
"Wc_SD",NA
"Wn_Mean",NA
