"","YearN","response","SE","df","lower.CL","upper.CL",".group","Year"
"1",2,139.1982586625,9.62360599808508,3,108.571649310388,169.824868014612,"A","2021"
"3",3,92.5833964874999,9.62360599808509,3,61.9567871353879,123.210005839612,"B","2022"
"2",4,146.80315,9.62360599808507,3,116.176540647888,177.429759352112,"A","2023"
